Campaign name,Day,Delivery status,Delivery level,Attribution setting,Result type,Results,Reach,Frequency,Cost per result,Amount spent (INR),Impressions,"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all),In-app purchases,Registrations completed,In-app registrations completed,Website registrations completed,Cost per registration completed,Purchases,Purchases conversion value,In-app purchases conversion value,Cost per purchase,Purchase ROAS (return on ad spend),In-app purchase ROAS (return on ad spend),percentage app,App installs,Mobile app installs,Cost per app install,Reporting starts,Reporting ends
Middle Funnel 2(web visit),3/18/2026,active,campaign,7-day click or 1-day view,actions:complete_registration,1,3536,1.30486425,129.7,129.7,4614,28.1100997,21,6.17619048,0.45513654,99,2.14564369,1.31010101,,1,,1,129.7,,,,,,,4.76190476,1,1,129.7,3/18/2026,3/18/2026
Middle Funnel Ad 3(fb-insta),3/18/2026,active,campaign,7-day click or 1-day view,actions:complete_registration,26,11985,1.22244472,11.41115385,296.69,14651,20.25049485,60,4.94483333,0.40952836,316,2.15684936,0.93889241,1,26,21,5,11.41115385,1,1200,1200,296.69,4.0446257,4.0446257,5,3,3,98.89666667,3/18/2026,3/18/2026
NF App Conversions,3/18/2026,active,campaign,7-day click or 1-day view,In-app purchases,6,5201,1.73831955,157.8766667,947.26,9041,104.7738082,440,2.15286364,4.86671828,463,5.12111492,2.04591793,6,18,18,,52.62555556,6,6437,6437,157.8766667,6.79538881,6.79538881,0.90909091,4,4,236.815,3/18/2026,3/18/2026
Bottom Funnel – Copy,3/18/2026,active,campaign,7-day click or 1-day view,actions:purchase,9,8430,1.71376038,44.70555556,402.35,14447,27.85007268,32,12.5734375,0.22149927,91,0.62988856,4.42142857,9,15,15,,26.82333333,9,8154,8154,44.70555556,20.26593762,20.26593762,6.25,2,2,201.175,3/18/2026,3/18/2026
All-Lookalike-manual-registration 27-07-24,3/18/2026,active,campaign,7-day click,,,201170,1.43398618,,15404.37,288475,53.39932403,1078,14.28976809,0.37368923,1439,0.49883005,10.70491313,11,402,402,,38.31932836,11,6566,6566,1400.397273,0.42624268,0.42624268,34.97217069,377,377,40.86039788,3/18/2026,3/18/2026
Advantage+ KSA app campaign 01/08/2024 Campaign,3/18/2026,active,campaign,7-day click,,,14650,1.43139932,,2445.09,20970,116.5994278,203,12.04477833,0.96804959,216,1.03004292,11.31986111,,113,112,1,21.6379646,,,,,,,50.73891626,103,103,23.73873786,3/18/2026,3/18/2026
Advantage+ app campaign maximize value  27/11/2024 Campaign (Duplicate). Campaign,3/18/2026,active,campaign,7-day click,In-app purchases,13,71712,1.32859215,458.6707692,5962.72,95276,62.58365171,412,14.47262136,0.43242789,573,0.60141064,10.40614311,13,205,204,1,29.08643902,13,10076,10076,458.6707692,1.68983283,1.68983283,45.38834951,187,187,31.88620321,3/18/2026,3/18/2026
New App IOS KSA promotion campaign,3/18/2026,active,campaign,Multiple attribution settings,In-app purchases,1,10961,1.3270687,2868.24,2868.24,14546,197.1841056,137,20.93605839,0.94183968,195,1.34057473,14.70892308,1,39,39,,73.54461538,1,3020.51,3020.51,2868.24,1.05308831,1.05308831,27.73722628,38,38,75.48,3/18/2026,3/18/2026
Advantage+ shopping campaign 02/03/2025 Campaign,3/18/2026,active,campaign,Multiple attribution settings,,,22662,2.23303327,,1762.7,50605,34.83252643,264,6.67689394,0.52168758,1030,2.035372,1.71135922,37,53,50,3,33.25849057,37,31030,31030,47.64054054,17.60367618,17.60367618,3.78787879,10,10,176.27,3/18/2026,3/18/2026
Advantage+ app Purchase campaign 21/12/2024 Campaign – april duplicate,3/18/2026,active,campaign,7-day click,In-app purchases,39,548225,1.41304939,902.5530769,35199.57,774669,45.43820651,2666,13.20313953,0.34414698,3406,0.43967165,10.33457722,39,1192,1188,4,29.5298406,39,17062,17062,902.5530769,0.48472183,0.48472183,38.63465866,1030,1030,34.17433981,3/18/2026,3/18/2026
