Campaign name,Day,Delivery status,Delivery level,Attribution setting,Result Type,Results,Reach,Frequency,Cost per result,Amount spent (INR),Impressions,"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all),In-app purchases,Registrations completed,In-app registrations completed,Website registrations completed,Cost per registration completed,Purchases,Purchases conversion value,In-app purchases conversion value,Cost per purchase,Purchase ROAS (return on ad spend),App Installs,Cost per App Install,App activiations,In-app sessions,Website landing page views,Instagram follows
New qatar App promotion Campaign 23 sept 25,3/26/2026,active,campaign,7-day click,In-app purchases,1,12800,1.4925,1993.45,1993.45,19104,104.3472571,99,20.13585859,0.51821608,127,0.66478224,15.69645669,1,59,59,,33.78728814,1,1949,1949,1993.45,0.97770197,47,42.41382979,178,178,,0
New Awareness campaign 24/10/25 –duplicate (07/11/25),3/26/2026,active,campaign,7-day click or 1-day view,,,502098,1,,972.21,502098,1.9362953,83,11.71337349,0.01653064,318,0.06333425,3.05726415,,1,1,,972.21,,,,,,1,972.21,24,24,15,0
New App promotion oman and bahrain Campaign 22 jan 2026,3/26/2026,active,campaign,7-day click,In-app purchases,6,18224,1.61243415,498.73,2992.38,29385,101.8335886,158,18.93911392,0.5376893,185,0.62957291,16.17502703,6,78,78,,38.36384615,6,10480.93,10480.93,498.73,3.50253978,61,49.05540984,152,152,,0
Middle Funnel 2(web visit),3/25/2026,active,campaign,7-day click or 1-day view,actions:complete_registration,17,4852,1.39571311,8.55117647,145.37,6772,21.46633196,16,9.085625,0.23626698,35,0.51683402,4.15342857,,17,16,1,8.55117647,,,,,,6,24.22833333,74,74,7,0
Middle Funnel Ad 3(fb-insta),3/25/2026,active,campaign,7-day click or 1-day view,actions:complete_registration,39,13455,1.23686362,8.35846154,325.98,16642,19.58778993,61,5.34393443,0.36654248,396,2.37952169,0.82318182,1,39,34,5,8.35846154,1,371,371,325.98,1.13810663,9,36.22,195,195,30,1
NF App Conversions,3/25/2026,active,campaign,7-day click or 1-day view,In-app purchases,11,4560,1.80635965,88.03454545,968.38,8237,117.5646473,348,2.78270115,4.22483914,391,4.74687386,2.47667519,11,34,34,,28.48176471,11,11581,11581,88.03454545,11.95914827,9,107.5977778,2786,2786,,0
Bottom Funnel – Copy,3/25/2026,active,campaign,7-day click or 1-day view,actions:purchase,10,8563,1.62968586,37.04,370.4,13955,26.5424579,26,14.24615385,0.18631315,190,1.36151917,1.94947368,10,8,8,,46.3,10,15181,15181,37.04,40.98542117,4,92.6,4437,4437,5,0
All-Lookalike-manual-registration 27-07-24,3/25/2026,active,campaign,7-day click,,,182351,1.52432397,,14771.63,277962,53.14262381,1068,13.83111423,0.38422518,1506,0.54180068,9.80851926,16,494,493,1,29.90208502,16,6943,6943,923.226875,0.4700226,433,34.11461894,1433,1433,,12
Advantage+ KSA app campaign 01/08/2024 Campaign,3/25/2026,active,campaign,7-day click,,,18122,1.45110915,,2392.73,26297,90.98870594,171,13.9925731,0.65026429,213,0.80997832,11.23347418,,130,130,,18.40561538,,,,,,94,25.45457447,328,328,,1
Advantage+ app campaign maximize value  27/11/2024 Campaign (Duplicate). Campaign,3/25/2026,active,campaign,7-day click,In-app purchases,10,76201,1.37277726,649.582,6495.82,104607,62.09737398,483,13.44890269,0.46172818,685,0.65483189,9.48294891,10,322,322,,20.17335404,10,2459,2459,649.582,0.37855113,230,28.24269565,747,747,1,5
Advantage+ shopping campaign 02/03/2025 Campaign,3/25/2026,active,campaign,Multiple attribution settings,,,25636,2.18614448,,1845.54,56044,32.9301977,277,6.66259928,0.49425451,1476,2.63364499,1.25036585,34,50,49,1,36.9108,34,25507,25507,54.28058824,13.82088711,13,141.9646154,18101,18101,78,1
New App IOS KSA promotion campaign,3/25/2026,active,campaign,Multiple attribution settings,,,11079,1.24866865,,2202.01,13834,159.1737748,113,19.48681416,0.8168281,160,1.15657077,13.7625625,,29,29,,75.93137931,,,,,,35,62.91457143,,,,0
Advantage+ app Purchase campaign 21/12/2024 Campaign – april duplicate,3/25/2026,active,campaign,7-day click,In-app purchases,54,576633,1.46230271,630.4472222,34044.15,843212,40.37436611,2712,12.55315265,0.3216273,3700,0.43879831,9.20112162,54,1533,1532,1,22.20753425,54,23414,23414,630.4472222,0.68775399,1270,26.80641732,3443,3443,5,34
UAE App promotion Campaign 26 June 25,3/25/2026,active,campaign,7-day click,In-app purchases,2,5993,1.44718839,753.24,1506.48,8673,173.6976825,92,16.37478261,1.06076329,110,1.26830393,13.69527273,2,57,57,,26.42947368,2,2163.93,2163.93,753.24,1.43641469,53,28.42415094,203,203,,1
India IOS app promotion purchase campaign  09/08/25 copy of 9/10/24,3/25/2026,active,campaign,7-day click,In-app purchases,1,134764,1.37807575,9344.19,9344.19,185715,50.31467571,450,20.76486667,0.24230676,1137,0.61222841,8.21828496,1,161,161,,58.0384472,1,199,199,9344.19,0.02129666,207,45.14101449,12,12,,11
New qatar App promotion Campaign 23 sept 25,3/25/2026,active,campaign,7-day click,,,12470,1.52485966,,2078.1,19015,109.2874047,107,19.42149533,0.56271365,137,0.72048383,15.16861314,,71,71,,29.26901408,,,,,,48,43.29375,171,171,,0
New Awareness campaign 24/10/25 –duplicate (07/11/25),3/25/2026,active,campaign,7-day click or 1-day view,,,522040,1.00689411,,971.95,525639,1.84908274,76,12.78881579,0.01445859,304,0.05783437,3.19720395,,3,3,,323.9833333,,,,,,2,485.975,11,11,16,0
New App promotion oman and bahrain Campaign 22 jan 2026,3/25/2026,active,campaign,7-day click,,,17343,1.68448365,,2953.92,29214,101.1131649,121,24.41256198,0.41418498,149,0.51002944,19.82496644,,82,82,,36.02341463,,,,,,55,53.70763636,138,138,,0
Middle Funnel 2(web visit),3/24/2026,active,campaign,7-day click or 1-day view,actions:complete_registration,4,4907,1.4571021,36.215,144.86,7150,20.26013986,21,6.89809524,0.29370629,33,0.46153846,4.38969697,,4,3,1,36.215,,,,,,3,48.28666667,88,88,10,0
