id,campaign_name,campaign_id,day,delivery_status,result_type,results,reach,frequency,cost_per_result,amount_spent_inr,impressions,cpm,link_clicks,cpc_link,ctr_link,clicks_all,ctr_all,cpc_all,in_app_purchases,registrations_completed,in_app_registrations,website_registrations,cost_per_registration_completed,purchases,purchases_conversion_value,in_app_purchases_conversion_value,cost_per_purchase,purchase_roas,app_installs,cost_per_app_install,app_activations,in_app_sessions,website_landing_page_views,instagram_follows
3064,Bottom Funnel – Copy,23848934971910317,2026-03-05,active,actions:purchase,3.0,7289.0,1.92564138,102.11,306.33,14036.0,21.8245939,11.0,27.84818182,0.07836991,25.0,0.17811342,12.2532,3.0,9.0,9.0,,34.03666667,3.0,2557.0,2557.0,102.11,8.34720726,2.0,153.165,3643.0,3643.0,2.0,1.0
3072,India IOS app promotion purchase campaign  09/08/25 copy of 9/10/24,120228467191530318,2026-03-05,active,,,167149.0,1.26217925,,9842.11,210972.0,46.65126178,662.0,14.86723565,0.31378572,1847.0,0.87547163,5.3287006,,215.0,215.0,,45.77725581,,,,,,286.0,34.41297203,4.0,4.0,,12.0
3061,Middle Funnel 2(web visit),23848721350610317,2026-03-05,active,actions:complete_registration,11.0,2873.0,1.53567699,11.55,127.05,4412.0,28.79646419,12.0,10.5875,0.27198549,48.0,1.08794198,2.646875,,11.0,10.0,1.0,11.55,,,,,,5.0,25.41,111.0,111.0,6.0,0.0
3062,Middle Funnel Ad 3(fb-insta),23848721470940317,2026-03-05,active,actions:complete_registration,39.0,10964.0,1.24352426,6.53692308,254.94,13634.0,18.69884113,56.0,4.5525,0.41073786,214.0,1.5696054,1.19130841,1.0,39.0,34.0,5.0,6.53692308,1.0,1299.0,1299.0,254.94,5.09531655,9.0,28.32666667,138.0,138.0,36.0,0.0
3063,NF App Conversions,23848933924920317,2026-03-05,active,In-app purchases,7.0,6270.0,1.80542265,151.3371429,1059.36,11320.0,93.58303887,443.0,2.39133183,3.91342756,427.0,3.77208481,2.48093677,7.0,6.0,6.0,,176.56,7.0,5308.0,5308.0,151.3371429,5.01057242,6.0,176.56,2410.0,2410.0,,1.0
3069,New App IOS KSA promotion campaign,120212785502620318,2026-03-05,active,In-app purchases,1.0,13493.0,1.29770992,2873.02,2873.02,17510.0,164.0788121,174.0,16.5116092,0.99371788,248.0,1.41633352,11.58475806,1.0,32.0,32.0,,89.781875,1.0,2482.64,2482.64,2873.02,0.86412207,46.0,62.45695652,,,,1.0
3075,New App promotion oman and bahrain Campaign 22 jan 2026,120237325237390318,2026-03-05,active,In-app purchases,2.0,23557.0,1.55418771,1444.785,2889.57,36612.0,78.92412324,172.0,16.79982558,0.46979133,204.0,0.55719436,14.16455882,2.0,79.0,79.0,,36.57683544,2.0,4597.13,4597.13,1444.785,1.59093914,57.0,50.69421053,182.0,182.0,,1.0
3074,New Awareness campaign 24/10/25 –duplicate (07/11/25),120233503097150318,2026-03-05,active,,,605524.0,1.0,,947.83,605524.0,1.56530542,98.0,9.67173469,0.01618433,363.0,0.05994808,2.61110193,,1.0,1.0,,947.83,,,,,,1.0,947.83,20.0,20.0,24.0,1.0
3073,New qatar App promotion Campaign 23 sept 25,120231060494030318,2026-03-05,active,In-app purchases,2.0,16705.0,1.43753367,1019.31,2038.62,24014.0,84.8929791,151.0,13.5007947,0.62879987,169.0,0.70375614,12.06284024,2.0,83.0,83.0,,24.56168675,2.0,2289.05,2289.05,1019.31,1.1228429,74.0,27.54891892,223.0,223.0,,1.0
3071,UAE App promotion Campaign 26 June 25,120225757421370318,2026-03-05,active,In-app purchases,1.0,9343.0,1.29187627,1378.48,1378.48,12070.0,114.2071251,104.0,13.25461538,0.86164043,123.0,1.01905551,11.20715447,1.0,78.0,78.0,,17.67282051,1.0,1306.63,1306.63,1378.48,0.94787737,62.0,22.23354839,189.0,189.0,,1.0
3051,Advantage+ KSA app campaign 01/08/2024 Campaign,120209414239730318,2026-03-06,active,,,21485.0,1.36653479,,2535.72,29360.0,86.36648501,235.0,10.79029787,0.80040872,253.0,0.86171662,10.0226087,,165.0,165.0,,15.368,,,,,,124.0,20.44935484,318.0,318.0,,1.0
3055,Advantage+ app Purchase campaign 21/12/2024 Campaign – april duplicate,120217652310390318,2026-03-06,active,In-app purchases,33.0,679054.0,1.3996987,1106.853939,36526.18,950471.0,38.42955756,2862.0,12.76246681,0.30111387,3930.0,0.41347921,9.29419338,33.0,1436.0,1436.0,,25.4360585,33.0,10422.0,10422.0,1106.853939,0.28532959,1229.0,29.7202441,2925.0,2925.0,3.0,25.0
3052,Advantage+ app campaign maximize value  27/11/2024 Campaign (Duplicate). Campaign,120212196648420318,2026-03-06,active,In-app purchases,8.0,68327.0,1.32606437,734.425,5875.4,90606.0,64.84559521,412.0,14.26067961,0.45471602,500.0,0.55183983,11.7508,8.0,229.0,229.0,,25.65676856,8.0,3194.0,3194.0,734.425,0.54362256,190.0,30.92315789,594.0,594.0,1.0,2.0
3054,Advantage+ shopping campaign 02/03/2025 Campaign,120215731086760318,2026-03-06,active,,,22959.0,2.46543839,,1548.62,56604.0,27.3588439,246.0,6.29520325,0.43459826,800.0,1.41332768,1.935775,33.0,88.0,84.0,4.0,17.59795455,33.0,12681.0,12681.0,46.92787879,8.1885808,16.0,96.78875,18048.0,18048.0,79.0,0.0
3050,All-Lookalike-manual-registration 27-07-24,120209316450690318,2026-03-06,active,,,274240.0,1.35767576,,16183.55,372329.0,43.46572521,1405.0,11.51854093,0.37735444,1827.0,0.49069506,8.85799124,7.0,478.0,478.0,,33.85679916,7.0,2993.0,2993.0,2311.935714,0.18494088,494.0,32.76022267,1204.0,1204.0,1.0,6.0
3049,Bottom Funnel – Copy,23848934971910317,2026-03-06,active,actions:purchase,8.0,9743.0,1.90526532,51.115,408.92,18563.0,22.0287669,18.0,22.71777778,0.09696709,33.0,0.17777299,12.39151515,8.0,28.0,28.0,,14.60428571,8.0,3837.0,3837.0,51.115,9.38325345,2.0,204.46,4654.0,4654.0,3.0,0.0
